INTL,ID
Kabul,Kabul
Tirana,Tirana
Algiers,Aljir
Andorra la Vella,Andorra la Vella
Luanda,Luanda
Saint John’s,Saint John’s
Buenos Aires,Buenos Aires
Yerevan,Yerevan
Canberra,Canberra
Vienna,Wina
Baku,Baku
Nassau,Nassau
Manama,Manama
Dhaka,Dhaka
Bridgetown,Bridgetown
Minsk,Minsk
Brussels,Brussel
Belmopan,Belmopan
Porto Novo,Porto Novo
Thimphu,Thimphu
La Paz,La Paz
Sarajevo,Sarajevo
Gaborone,Gaborone
Brasilia,Brasilia
Bandar Seri Begawan,Bandar Seri Begawan
Sofia,Sofia
Ouagadougou,Ouagadougou
Bujumbura,Bujumbura
Phnom Penh,Phnom Penh
Yaounde,Yaounde
Ottawa,Ottawa
Praia,Praia
Bangui,Bangui
N’Djamena,N’Djamena
Santiago,Santiago
Beijing,Beijing
Bogota,Bogota
Moroni,Moroni
Brazzaville,Brazzaville
San Jose,San Jose
Abidjan,Abijan
Zagreb,Zagreb
Havana,Havana
Nicosia,Nikosia
Prague,Praha
Copenhagen,Kopenhagen
Djibouti,Djibouti
Roseau,Roseau
Santo Domingo,Santo Domingo
Dili,Dili
Queto,Quito
Cairo,Kairo
San Salvador,San Salvador
Malabo,Malabo
Asmara,Asmara
Tallinn,Tallinn
Addis Ababa,Addis Ababa
Suva,Suva
Helsinki,Helsinki
Paris,Paris
Libreville,Libreville
Banjul,Banjul
Tbilisi,Tbilisi
Berlin,Berlin
Accra,Akra
Athens,Athena
Saint George’s,Saint George
Guatemala City,Guatemala City
Conakry,Conakry
Bissau,Bissau
Georgetown,Georgetown
Port au Prince,Port-au-Prince
Tegucipalga,Tegucipalga
Budapest,Budapest
Reykjavik,Reykjavik
Delhi,New Delhi
Jakarta,Jakarta
Tehran,Teheran
Baghdad,Baghdad
Dublin,Dublin
Tel Aviv,Tel Aviv
Rome,Roma
Kingston,Kingston
Tokyo,Tokyo
Amman,Amman
Astana,Astana
Nairobi,Nairobi
Tarawa,Tarawa
Pyongyang,Pyongyang
Seoul,Seoul
Kuwait City,Kuwait City
Bishkek,Bishkek
Vientiane,Vientiane
Riga,Riga
Beirut,Beirut
Tripoli,Tripoli
Vaduz,Vaduz
Luxembourg,Luxembourg
Skopje,Skopje
Antananarivo,Antananarivo
Lilongwe,Lilongwe
Kuala Lumpur,Kuala Lumpur
Male,Male
Bamako,Bamako
Valetta,Malta
Majuro,Majuro
Nouakchott,Nouakchott
Port Louis,Port Louis
Mexico City,Mexico City
Palikir,Palikir
Chisinau,Chisinau
Monaco,Monako
Ulaanbaatar,Ulan Bator
Podgorica,Podgorica
Rabat,Rabat
Maputo,Maputo
Naypyidaw,Naypyidaw
Windhoek,Windhoek
Kathmandu,Kathmandu
Amsterdam,Amsterdam
Wellington,Wellington
Managua,Managua
Niamey,Niamey
Abuja,Abuja
Oslo,Oslo
Muscat,Muskat
Islamabad,Islamabad
Koror,Koror
Panama City,Panama City
Port Moresby,Port Moresby
Asunción,Asunción
Lima,Lima
Manila,Manila
Warsaw,Warsawa
Lisbon,Lisabon
Doha,Doha
Bucharest,Bucharest
Moscow,Moskow
Kigali,Kigali
Basseterre,Basseterre
Castries,Castries
Kingstown,Kingstown
Apia,Apia
San Marino,San Marino
Sao Tome,Sao Tome
Riyadh,Riyadh
Dakar,Dakar
Belgrade,Beograd
Victoria,Victoria
Freetown,Freetown
Singapore,Singapura
Bratislava,Bratislava
Ljubljana,Ljubljana
Honiara,Honiara
Mogadishu,Mogadishu
Pretoria,Pretoria
Madrid,Madrid
Colombo,Kolombo
Khartoum,Khartoum
Paramaribo,Paramaribo
Mbabana,Mbabane
Stockholm,Stockholm
Bern,Bern
Damascus,Damaskus
Dushanbe,Dushanbe
Dar es Salaam,Dar es Salaam
Bangkok,Bangkok
Lome,Lome
Nuku’alofa,Nuku’alofa
Port of Spain,Port of Spain
Tunis,Tunis
Ankara,Ankara
Ashgabat,Ashgabat
Funafuti,Funafuti
Kampala,Kampala
Kiev,Kiev
Abu Dhabi,Abu Dhabi
London,London
Washington DC,Washington DC
Montevideo,Montevideo
Tashkent,Tashkent
Port Vila,Port Vila
Vatican City,Vatikan
Caracas,Caracas
Hanoi,Hanoi
Sanaa,Sana’a
Lusaka,Lusaka
Harare,Harare
